Property Name,Property ID,,,
Tuckaway Apartment Homes,2617,,,
Encino Pointe,2614,,,
Westchester Woods,2610,,,
Cypress Creek at Lakeline,2583,,,
Sienna Pointe,2576,,,
Buckholts,2573,,,
Cambridge Villas Senior Living,2556,,,
Stone Brook Seniors,2555,,,
La Vista retirement Community,2462,,,
River Oaks Villas,2553,,,
Mariposa Apartment Homes,2516,,,
Oaks at Georgetown,2511,,,
Country Square,2504,,,
Prairie Village,2502,,,
Cypress Creek at River Bend,2498,,,
Parkview Place,2493,,,
Tuscany Park,2485,,,
Georgetown Place,2492,,,
Home Towne at Picadilly,2479,,,
Red Hills Villas,2480,,,
Raintree Apartments,2473,,,
Henna Townhomes,2476,,,
Country Lane Seniors,2468,,,
Stonehaven,2467,,,
Champions Crossing,2465,,,
Cedar Ridge,2464,,,
Bluffs Landing,2450,,,
Creekside Villas,2451,,,
Cedar Park Townhomes,2436,,,
Villas at Willow Springs,2434,,,
Cove at Heatherwilde,2426,,,
Montrose,2424,,,
Allen Woods,2420,,,
Turtle Creek,2418,,,
Huntington,2402,,,
Saddle Creek,2389,,,
Belle Oaks,2383,,,
Cm Allen,2385,,,
Sunrise Village,2386,,,
San Gabriel Senior Village,2388,,,
Golden Haven,2399,,,
Chiholm Trail Senior Village,2811,,,
Canyon Creek,2803,,,
Fairways at Simmons Park,2812,,,
Petra,2798,,,
Country Oaks,2796,,,
Rivercrest,2785,,,
San gabriel Crossing,2784,,,
Avery,2783,,,
Smithville ,2774,,,
Grand Reserve Seniors,2775,,,
Trinity Place,2776,,,
Ashbury Place,2767,,,
Village at Medowbend,2763,,,
Springtown Villa,2759,,,
Shady Oaks,2761,,,
Alta Vista,2762,,,
Kyle Building,2804,,,
Summit in San Marcos,2752,,,
Twin Oaks Village,2753,,,
Chateau Apartments,2747,,,
Burnett Place,2748,,,
Georgetown Square,2749,,,
Chisholm Trail,2742,,,
Bastrop Village Oaks,2731,,,
Milam Creek,2727,,,
Vistas Apartments,2729,,,
Mary Olson Apartments,2728,,,
Tembell Homes,2771,,,
Stepping Stone,2724,,,
Creekside Townhomes,2715,,,
Whitestone,2718,,,
Hamilton Creek,2719,,,
Apple Creek,2689,,,
Willows,2690,,,
Crystal Falls Village,2691,,,
Gardens of taylor,2692,,,
Springfield Villas,2676,,,
Stone Street Retirement,2677,,,
Rhomberg Apartments,2660,,,
Chapultepec Homes South,2661,,,
Pete Dressen Housing,2662,,,
Cushing Center,2664,,,
Lance Haven,2665,,,
Sandia Crossing,2667,,,
Garden gate,2745,,,
Piney Creek North,2782,,,
Ridge Pointe,2640,,,
Riverwood Commons,2631,,,
Westwood,2632,,,
Oak Creek,2633,,,
Village at Fox Creek,2619,,,
Hill Street Project,2621,,,
Holland House,2589,,,
Tremont,2590,,,
Northgate,2590,,,
Burleson Heights,2592,,,
Imperial Gardens,2593,,,
Martindale,2594,,,
Tameric,2597,,,
The Timbers,2580,,,
Round Rock Village,2581,,,
Veranda at Twin,2569,,,
Charles Young Housing,2560,,,
Chandler Place,2545,,,
Jennings Retirement Village,2546,,,
Medina Court Senior Housing,2547,,,
Westwood ,2548,,,
Grace Place,2549,,,
Highland Oaks,2550,,,
Leaning Oaks,2497,,,
City Oaks,2482,,,
Golden Age,2470,,,
Springs,2471,,,
Oak Crest,2458,,,
Alamo Plaza,2459,,,
Pecos Street,2440,,,
Hill Country Cottages,2441,,,
Overlook at Plum Creek,2443,,,
Riverview,2427,,,
Wayman Manor,2407,,,
Crescent Village,2409,,,
Landing Apartments,2410,,,
Langtry,2793,,,
Porter,2794,,,
Florence Hearthstone ,2778,,,
Temple College,2779,,,
Mallard Run,2756,,,
Capital Area Rural,2758,,,
Windmill ,2736,,,
Rock Terrace ,2710,,,
Crek View,2711,,,
Meadowbrook,2712,,,
Liberty Hill Villas,2817,,,
Settlement Estates,2820,,,
Southpark Village,2821,,,
Lockhart Senior ,2822,,,
Pflugerville Meadows,2827,,,
Leander Station,2828,,,
Smithsville garden,2829,,,
Merritt Legacy,2833,,,
Blanco Plaza,2836,,,
Waters at Sunrise,2838,,,
Onion Creek,2839,,,
Highview Retirement,2843,,,
Liberty Manor,2847,,,
Main street Commons,2848,,,
Merritt Hill Country Senior Living,2850,,,